OCCURRED_ON_DATE,0_2,0_3,0_4,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_12,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_6,6_7,6_8,6_9,7_9,8_7
2015-06-15,,1.0,1.0,2.0,1.0,,1.0,,9.0,1.0,,3.0,7.0,,,6.0,2.0,4.0,3.0,,2.0,,4.0,9.0,12.0,11.0,19.0,10.0,,,,6.0,11.0,20.0,16.0,24.0,2.0,,1.0,1.0,2.0,6.0,1.0,6.0,1.0,,,,,2.0,,
2015-06-16,2.0,,,,1.0,,,2.0,1.0,,,,7.0,,4.0,6.0,6.0,,,5.0,1.0,,1.0,10.0,9.0,8.0,19.0,8.0,,,,4.0,23.0,28.0,17.0,19.0,4.0,2.0,,1.0,2.0,8.0,1.0,7.0,,,,,,3.0,,
2015-06-17,,1.0,,1.0,2.0,,3.0,4.0,6.0,1.0,,,5.0,,2.0,4.0,7.0,1.0,2.0,4.0,2.0,,4.0,10.0,6.0,10.0,11.0,9.0,,,,7.0,22.0,8.0,14.0,26.0,5.0,,2.0,1.0,,6.0,3.0,8.0,2.0,,,,1.0,,,
2015-06-18,,1.0,,,2.0,,2.0,,2.0,1.0,,1.0,4.0,,3.0,3.0,6.0,6.0,5.0,8.0,1.0,,1.0,13.0,4.0,28.0,33.0,11.0,,,,10.0,29.0,13.0,7.0,30.0,8.0,,,5.0,1.0,8.0,2.0,3.0,,,1.0,,,2.0,,
2015-06-19,1.0,3.0,,1.0,6.0,,1.0,2.0,2.0,,,3.0,6.0,,1.0,8.0,3.0,4.0,4.0,7.0,,,3.0,15.0,13.0,16.0,18.0,10.0,,,,4.0,22.0,29.0,12.0,32.0,2.0,,1.0,2.0,3.0,3.0,2.0,5.0,,,,,,1.0,1.0,
2015-06-20,,,,1.0,1.0,,3.0,2.0,,,,3.0,12.0,1.0,4.0,4.0,3.0,6.0,4.0,,1.0,,,11.0,12.0,9.0,16.0,7.0,,,,8.0,14.0,28.0,20.0,26.0,6.0,,1.0,1.0,2.0,10.0,1.0,1.0,3.0,,,,1.0,3.0,,
2015-06-21,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,1.0,,,7.0,,2.0,4.0,,1.0,2.0,1.0,2.0,,,18.0,8.0,10.0,11.0,11.0,,,,6.0,18.0,7.0,10.0,16.0,,,,2.0,1.0,4.0,2.0,6.0,1.0,,,,,,,
2015-06-22,,,1.0,,3.0,,1.0,1.0,3.0,,,1.0,8.0,,,4.0,5.0,7.0,2.0,2.0,4.0,,4.0,8.0,9.0,16.0,17.0,9.0,,1.0,,7.0,20.0,14.0,20.0,22.0,5.0,1.0,1.0,2.0,,7.0,4.0,10.0,5.0,,1.0,,,2.0,1.0,
2015-06-23,2.0,1.0,,2.0,,,1.0,2.0,2.0,2.0,,1.0,8.0,,,5.0,2.0,1.0,10.0,6.0,2.0,,2.0,6.0,10.0,27.0,26.0,11.0,,,,4.0,15.0,26.0,12.0,28.0,4.0,2.0,,,,3.0,,8.0,1.0,,1.0,,,3.0,,
2015-06-24,,2.0,1.0,,4.0,,,1.0,3.0,1.0,,2.0,9.0,,3.0,5.0,6.0,2.0,1.0,1.0,3.0,,1.0,12.0,8.0,17.0,17.0,12.0,,,,11.0,19.0,25.0,23.0,19.0,10.0,,,5.0,1.0,6.0,5.0,7.0,,,,,,1.0,,
